2026-09-09 16:49:30 | DEBUG | data_loader | Загружено 1132 записей из cities.json
2026-09-09 16:49:30 | INFO | __main__ | Загружено 1109 уникальных городов
2026-09-09 16:49:30 | INFO | __main__ | Игра успешно запущена
2026-09-09 16:49:30 | INFO | game | Игра началась
2026-09-09 16:49:36 | DEBUG | game | Игрок сделал ход: псков
2026-09-09 16:49:36 | DEBUG | game | Компьютер сделал ход: верещагино
2026-09-09 16:49:39 | DEBUG | game | Игрок сделал ход: остров
2026-09-09 16:49:39 | DEBUG | game | Компьютер сделал ход: верхняя салда
2026-09-09 16:49:43 | INFO | game | Игрок завершил игру по команде
2026-09-09 16:49:43 | INFO | game | Игра завершена
2026-09-09 16:50:19 | CRITICAL | data_loader | Файл cities.json не найден
2026-09-09 16:50:19 | CRITICAL | __main__ | Невозможно запустить игру из-за ошибки загрузки данных
2026-09-09 16:50:57 | CRITICAL | data_loader | Ошибка JSON: Extra data: line 11 column 4 (char 177)
2026-09-09 16:50:57 | CRITICAL | __main__ | Невозможно запустить игру из-за ошибки загрузки данных
